file,actual_label,predicted_label,prediction_confidence,topk_predictions
car_0265.npy,car,car,99.74724650382996,car: 99.75% | tent: 0.15% | bed: 0.02% | bathtub: 0.02% | sofa: 0.01%
car_0237.npy,car,car,99.0796685218811,car: 99.08% | stairs: 0.29% | tent: 0.19% | toilet: 0.11% | tv_stand: 0.06%
car_0272.npy,car,car,98.7639844417572,car: 98.76% | stairs: 0.80% | toilet: 0.13% | tent: 0.09% | vase: 0.07%
car_0291.npy,car,car,99.40992593765259,car: 99.41% | tent: 0.21% | tv_stand: 0.09% | stairs: 0.05% | glass_box: 0.04%
car_0212.npy,car,car,98.22062253952026,car: 98.22% | toilet: 0.35% | tent: 0.35% | stairs: 0.21% | sofa: 0.21%
car_0204.npy,car,car,99.22965168952942,car: 99.23% | range_hood: 0.14% | tent: 0.12% | stairs: 0.10% | tv_stand: 0.10%
car_0275.npy,car,car,99.46776628494263,car: 99.47% | tent: 0.33% | bed: 0.06% | stairs: 0.05% | bathtub: 0.02%
car_0276.npy,car,car,97.81970381736755,car: 97.82% | tent: 1.15% | sofa: 0.43% | bathtub: 0.30% | vase: 0.06%
car_0229.npy,car,car,83.53411555290222,car: 83.53% | tent: 6.91% | airplane: 2.71% | stairs: 1.76% | vase: 1.35%
car_0228.npy,car,tent,35.38251519203186,tent: 35.38% | sink: 19.05% | radio: 15.10% | range_hood: 14.06% | car: 5.01%
car_0292.npy,car,car,97.9633092880249,car: 97.96% | tent: 1.09% | bathtub: 0.30% | sofa: 0.23% | tv_stand: 0.08%
car_0242.npy,car,car,98.56047034263611,car: 98.56% | tent: 0.46% | bathtub: 0.31% | table: 0.14% | stairs: 0.09%
car_0267.npy,car,car,72.43359088897705,car: 72.43% | stairs: 11.12% | table: 3.89% | bench: 3.01% | tent: 2.19%
car_0247.npy,car,car,97.65764474868774,car: 97.66% | tv_stand: 0.58% | stairs: 0.54% | bench: 0.39% | range_hood: 0.23%
car_0256.npy,car,car,96.2617039680481,car: 96.26% | bench: 0.68% | tv_stand: 0.63% | tent: 0.61% | stairs: 0.50%
car_0211.npy,car,car,99.36156272888184,car: 99.36% | tent: 0.32% | bed: 0.13% | sofa: 0.04% | bathtub: 0.03%
car_0227.npy,car,car,98.85407090187073,car: 98.85% | bed: 0.37% | tent: 0.25% | stairs: 0.14% | tv_stand: 0.11%
car_0268.npy,car,car,49.376413226127625,car: 49.38% | tent: 10.40% | bench: 7.04% | toilet: 5.43% | radio: 4.14%
car_0287.npy,car,car,88.04601430892944,car: 88.05% | sofa: 10.76% | bathtub: 0.53% | tent: 0.22% | glass_box: 0.07%
car_0296.npy,car,car,95.95623016357422,car: 95.96% | tv_stand: 1.04% | bench: 0.86% | stairs: 0.79% | bookshelf: 0.33%
car_0213.npy,car,car,91.0800576210022,car: 91.08% | tent: 3.64% | range_hood: 1.34% | stairs: 0.85% | sink: 0.79%
car_0297.npy,car,car,97.98232913017273,car: 97.98% | bathtub: 1.36% | tent: 0.25% | stairs: 0.12% | bed: 0.05%
car_0208.npy,car,car,97.43709564208984,car: 97.44% | stairs: 0.92% | tent: 0.33% | bench: 0.31% | tv_stand: 0.27%
car_0231.npy,car,car,86.86740398406982,car: 86.87% | tent: 8.46% | range_hood: 1.10% | bench: 0.65% | stairs: 0.62%
car_0199.npy,car,car,99.20011758804321,car: 99.20% | sofa: 0.35% | tent: 0.24% | bathtub: 0.11% | stairs: 0.02%
car_0294.npy,car,car,96.90733551979065,car: 96.91% | stairs: 0.91% | tent: 0.58% | desk: 0.32% | bathtub: 0.26%
car_0258.npy,car,tv_stand,40.788036584854126,tv_stand: 40.79% | stairs: 13.37% | bench: 12.04% | car: 8.88% | guitar: 5.98%
car_0223.npy,car,car,99.25488233566284,car: 99.25% | bed: 0.20% | tent: 0.15% | tv_stand: 0.09% | stairs: 0.08%
car_0205.npy,car,car,97.27979302406311,car: 97.28% | tent: 0.60% | bench: 0.41% | stairs: 0.41% | range_hood: 0.38%
car_0201.npy,car,car,68.80711317062378,car: 68.81% | tent: 13.16% | bed: 6.35% | sofa: 5.04% | bathtub: 1.97%
