file,actual_label,predicted_label,prediction_confidence,topk_predictions
airplane_0627.npy,airplane,airplane,99.946528673172,airplane: 99.95% | plant: 0.01% | tent: 0.01%
airplane_0628.npy,airplane,airplane,99.98975992202759,airplane: 99.99%
airplane_0629.npy,airplane,airplane,75.93856453895569,airplane: 75.94% | tent: 6.84% | plant: 5.89% | sofa: 4.62% | stairs: 2.21%
airplane_0630.npy,airplane,airplane,99.98941421508789,airplane: 99.99%
airplane_0631.npy,airplane,airplane,99.84269142150879,airplane: 99.84% | tent: 0.05% | sink: 0.03% | vase: 0.02% | plant: 0.02%
airplane_0632.npy,airplane,airplane,99.98775720596313,airplane: 99.99%
airplane_0633.npy,airplane,airplane,99.99101161956787,airplane: 99.99%
airplane_0634.npy,airplane,airplane,99.95747208595276,airplane: 99.96% | sink: 0.01% | plant: 0.01% | bed: 0.01%
airplane_0635.npy,airplane,airplane,99.96336698532104,airplane: 99.96% | table: 0.01% | bowl: 0.01%
airplane_0636.npy,airplane,airplane,99.96684789657593,airplane: 99.97% | vase: 0.01% | plant: 0.01% | bowl: 0.01%
airplane_0637.npy,airplane,airplane,99.84316229820251,airplane: 99.84% | vase: 0.06% | chair: 0.03% | bowl: 0.01% | sink: 0.01%
airplane_0638.npy,airplane,airplane,99.9677300453186,airplane: 99.97% | plant: 0.01%
airplane_0639.npy,airplane,airplane,98.42244386672974,airplane: 98.42% | sink: 0.92% | bowl: 0.21% | plant: 0.15% | bed: 0.12%
airplane_0640.npy,airplane,airplane,99.99445676803589,airplane: 99.99%
airplane_0641.npy,airplane,airplane,99.98881816864014,airplane: 99.99%
airplane_0642.npy,airplane,airplane,99.95476603507996,airplane: 99.95% | guitar: 0.01% | table: 0.01%
airplane_0643.npy,airplane,airplane,99.97567534446716,airplane: 99.98% | sofa: 0.01% | bed: 0.01%
airplane_0644.npy,airplane,airplane,99.98576641082764,airplane: 99.99%
airplane_0645.npy,airplane,airplane,99.86382126808167,airplane: 99.86% | plant: 0.04% | sink: 0.02% | vase: 0.02% | tent: 0.01%
airplane_0646.npy,airplane,airplane,99.72422122955322,airplane: 99.72% | vase: 0.18% | bed: 0.02% | tent: 0.01% | plant: 0.01%
airplane_0647.npy,airplane,airplane,99.79107975959778,airplane: 99.79% | bowl: 0.05% | table: 0.02% | sofa: 0.02% | guitar: 0.02%
airplane_0648.npy,airplane,airplane,99.98975992202759,airplane: 99.99%
airplane_0649.npy,airplane,airplane,99.38114285469055,airplane: 99.38% | plant: 0.14% | vase: 0.09% | bowl: 0.09% | radio: 0.09%
airplane_0650.npy,airplane,airplane,99.99579191207886,airplane: 100.00%
airplane_0651.npy,airplane,airplane,99.98477697372437,airplane: 99.98%
airplane_0652.npy,airplane,airplane,99.9860167503357,airplane: 99.99%
airplane_0653.npy,airplane,airplane,99.95861649513245,airplane: 99.96% | guitar: 0.01% | table: 0.01%
airplane_0654.npy,airplane,airplane,99.96490478515625,airplane: 99.96% | bowl: 0.01%
airplane_0655.npy,airplane,airplane,99.80777502059937,airplane: 99.81% | bowl: 0.06% | sink: 0.05% | plant: 0.02% | vase: 0.02%
airplane_0656.npy,airplane,airplane,99.88741278648376,airplane: 99.89% | table: 0.03% | car: 0.03% | vase: 0.01% | sofa: 0.01%
airplane_0657.npy,airplane,airplane,99.5320975780487,airplane: 99.53% | table: 0.19% | bathtub: 0.10% | tent: 0.07% | guitar: 0.04%
airplane_0658.npy,airplane,airplane,99.79642629623413,airplane: 99.80% | table: 0.04% | sofa: 0.04% | sink: 0.03% | plant: 0.02%
airplane_0659.npy,airplane,airplane,99.88859295845032,airplane: 99.89% | bowl: 0.04% | bed: 0.01% | sofa: 0.01% | cone: 0.01%
airplane_0660.npy,airplane,airplane,99.98685121536255,airplane: 99.99%
airplane_0661.npy,airplane,airplane,94.64163780212402,airplane: 94.64% | bed: 1.94% | plant: 1.59% | vase: 0.93% | bowl: 0.31%
airplane_0662.npy,airplane,airplane,97.87991046905518,airplane: 97.88% | bowl: 1.24% | plant: 0.45% | sofa: 0.17% | tent: 0.14%
airplane_0663.npy,airplane,airplane,99.8822271823883,airplane: 99.88% | bathtub: 0.02% | bowl: 0.01% | sink: 0.01% | guitar: 0.01%
airplane_0664.npy,airplane,airplane,99.74421262741089,airplane: 99.74% | vase: 0.08% | tent: 0.08% | chair: 0.04% | plant: 0.01%
airplane_0665.npy,airplane,airplane,99.88376498222351,airplane: 99.88% | vase: 0.05% | table: 0.02% | sofa: 0.01% | bed: 0.01%
airplane_0666.npy,airplane,airplane,99.95843768119812,airplane: 99.96% | vase: 0.01% | bowl: 0.01% | sink: 0.01%
airplane_0667.npy,airplane,airplane,99.99473094940186,airplane: 99.99%
airplane_0668.npy,airplane,airplane,99.99016523361206,airplane: 99.99%
airplane_0669.npy,airplane,airplane,99.88391995429993,airplane: 99.88% | sofa: 0.03% | bed: 0.02% | tent: 0.02% | vase: 0.01%
airplane_0670.npy,airplane,airplane,99.72321391105652,airplane: 99.72% | plant: 0.08% | sink: 0.04% | bed: 0.04% | cup: 0.03%
airplane_0671.npy,airplane,airplane,99.83152151107788,airplane: 99.83% | sink: 0.11% | bowl: 0.02% | bed: 0.01% | plant: 0.01%
airplane_0672.npy,airplane,airplane,99.98539686203003,airplane: 99.99%
airplane_0673.npy,airplane,airplane,99.90851879119873,airplane: 99.91% | vase: 0.03% | bowl: 0.02% | table: 0.01% | cup: 0.01%
airplane_0674.npy,airplane,airplane,99.27467703819275,airplane: 99.27% | bowl: 0.38% | cup: 0.09% | bed: 0.08% | vase: 0.05%
airplane_0675.npy,airplane,airplane,97.84218072891235,airplane: 97.84% | guitar: 0.95% | table: 0.36% | lamp: 0.23% | tent: 0.12%
airplane_0676.npy,airplane,airplane,99.98558759689331,airplane: 99.99% | sofa: 0.01%
airplane_0677.npy,airplane,airplane,99.82977509498596,airplane: 99.83% | plant: 0.03% | vase: 0.03% | sink: 0.03% | bowl: 0.03%
airplane_0678.npy,airplane,airplane,99.9834656715393,airplane: 99.98%
